,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
66,frozenset({6318344}),frozenset({3524026}),0.01492832706607481,0.03491758319432271,0.0014419406825185897,0.09659090909090909,2.7662541405962457,0.000920679580236863,1.0682673292943345
67,frozenset({3524026}),frozenset({6318344}),0.03491758319432271,0.01492832706607481,0.0014419406825185897,0.04129554655870445,2.766254140596246,0.000920679580236863,1.0275029696565858
68,frozenset({3978011}),frozenset({3559555}),0.03189233509570528,0.011507252113432667,0.0014702140292346406,0.04609929078014185,4.0061076550438255,0.0011032208888022833,1.036263772877368
69,frozenset({3559555}),frozenset({3978011}),0.011507252113432667,0.03189233509570528,0.0014702140292346406,0.12776412776412777,4.0061076550438255,0.0011032208888022833,1.1099149848339378
70,frozenset({4108011}),frozenset({3559555}),0.03553959682207583,0.011507252113432667,0.0012440272555062342,0.035003977724741446,3.041905867681524,0.0008350641548648572,1.02434903882392
71,frozenset({3559555}),frozenset({4108011}),0.011507252113432667,0.03553959682207583,0.0012440272555062342,0.1081081081081081,3.041905867681524,0.0008350641548648572,1.081364694472218
72,frozenset({3559555}),frozenset({4628597}),0.011507252113432667,0.06717747179733666,0.001922587576691453,0.16707616707616707,2.487086259813532,0.0011495594723764874,1.1199373716179468
73,frozenset({4628597}),frozenset({3559555}),0.06717747179733666,0.011507252113432667,0.001922587576691453,0.028619528619528618,2.4870862598135326,0.0011495594723764874,1.017616451030539
74,frozenset({3998011}),frozenset({3631365}),0.01272300602222285,0.011026605219259803,0.001413667335802539,0.1111111111111111,10.076638176638177,0.0012733757711932225,1.1125950691283328
75,frozenset({3631365}),frozenset({3998011}),0.011026605219259803,0.01272300602222285,0.001413667335802539,0.12820512820512822,10.076638176638179,0.0012733757711932225,1.1324647872098033
76,frozenset({4628597}),frozenset({3690654}),0.06717747179733666,0.008227543894370777,0.0013853939890864882,0.020622895622895623,2.5065676813958597,0.0008326883911610459,1.01265636257283
77,frozenset({3690654}),frozenset({4628597}),0.008227543894370777,0.06717747179733666,0.0013853939890864882,0.1683848797250859,2.5065676813958597,0.0008326883911610459,1.121699816970971
78,frozenset({3854099}),frozenset({4628597}),0.009330204416296757,0.06717747179733666,0.0012157539087901835,0.1303030303030303,1.939683450668299,0.0005889743647510222,1.0725833947974874
79,frozenset({4628597}),frozenset({3854099}),0.06717747179733666,0.009330204416296757,0.0012157539087901835,0.018097643097643095,1.9396834506682987,0.0005889743647510222,1.0089290331362533
80,frozenset({3864099}),frozenset({4628597}),0.011281065339704261,0.06717747179733666,0.0013288472956543866,0.11779448621553884,1.753481979359172,0.0005710138469524915,1.0573755362297235
81,frozenset({4628597}),frozenset({3864099}),0.06717747179733666,0.011281065339704261,0.0013288472956543866,0.019781144781144778,1.753481979359172,0.0005710138469524915,1.0086716138913108
82,frozenset({3868338}),frozenset({4628597}),0.011337612033136362,0.06717747179733666,0.0012440272555062342,0.10972568578553615,1.6333702780086818,0.00048239514290107156,1.047792251566577
